'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
33,68,31,28,6,10
29,98,8,25,6,23
20,67,72,45,7,8
24,82,10,97,4,18
42,74,74,63,7,8
42,39,33,15,6,7
19,35,2,69,4,19
21,89,94,58,4,12
27,67,70,59,6,16
15,67,73,5,7,10
25,53,69,15,6,28
26,45,7,15,4,14
24,30,63,12,6,5
38,90,79,12,6,20
20,97,38,79,7,3
33,58,19,5,7,18
44,67,14,0,5,28
41,31,59,96,7,26
43,73,23,50,5,14
26,94,56,11,4,14
20,64,41,86,5,0
33,42,76,33,4,4
29,72,97,64,4,0
42,76,90,35,4,9
16,34,64,35,5,24
28,49,79,2,7,10
22,48,34,98,4,22
30,65,92,67,4,0
39,73,9,31,6,12
40,42,0,57,4,11
27,68,2,13,5,22
39,35,28,61,6,5
44,61,57,68,5,16
32,53,60,13,4,12
36,47,42,50,7,0
22,36,64,32,5,28
38,49,86,58,7,28
33,71,61,71,7,10
34,42,88,80,4,29
27,83,44,22,4,13
28,62,40,39,4,0
35,70,6,96,6,17
30,61,17,59,5,4
27,89,65,52,4,1
25,42,79,59,7,3
35,89,60,33,4,11
16,47,17,99,5,20
43,53,67,19,4,14
21,63,95,92,4,26
41,38,65,1,6,8
35,61,92,44,4,28
41,50,94,24,7,6
19,45,83,20,5,3
28,65,59,62,4,25
29,61,72,34,6,10
32,74,27,29,6,19
34,50,0,41,4,21
32,34,56,36,4,22
20,67,59,48,6,5
35,66,40,34,4,0
37,95,0,89,6,5
40,32,55,95,7,14
31,92,99,31,4,11
30,71,8,2,7,20
20,87,19,96,4,12
26,33,32,86,4,22
32,54,12,73,6,12
22,98,41,80,5,23
32,47,27,18,5,27
32,32,41,91,7,21
25,87,14,38,4,9
28,38,21,98,4,3
32,99,33,99,5,24
42,95,45,98,6,26
28,75,28,36,6,29
38,37,77,10,4,1
38,42,92,14,5,16
20,48,96,75,5,19
26,72,88,98,6,14
35,93,90,65,5,13
30,33,39,57,4,16
28,82,95,0,7,15
39,62,62,71,4,0
43,60,64,59,7,28
44,63,21,64,5,11
41,76,48,62,5,9
36,55,45,86,5,21
25,69,12,8,7,21
32,67,22,71,7,24
16,46,66,91,4,8
42,52,68,9,6,18
39,50,4,2,6,14
37,93,46,85,6,0
27,38,6,15,7,17
19,34,59,41,4,0
39,62,28,78,4,19
40,44,86,37,6,18
24,39,67,45,7,22
28,35,46,16,6,12
34,51,50,58,7,29
26,83,19,16,5,0
24,74,57,11,5,6
30,42,99,28,5,23
21,31,32,48,6,16
35,43,78,42,5,0
16,53,90,94,7,15
29,64,67,74,7,17
24,56,98,96,6,19
15,61,62,80,7,28
37,98,75,61,6,19
39,85,21,69,7,18
29,81,32,62,7,17
35,59,61,56,6,2
29,66,50,45,7,14
26,42,79,85,6,14
33,99,92,79,6,14
16,47,11,15,6,14
43,63,15,12,4,3
