Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
87524,4.422.460.114,253.291.155,819.738.392,90546,758.650.579,1184.04,Kecimen
75166,406.690.687,2.430.324.363,801.805.234,78789,68.412.957,1.121.786,Kecimen
90856,4.422.670.483,2.663.283.177,798.353.619,93717,637.612.812,1.208.575,Kecimen
45928,2.865.405.586,2.087.600.423,684.989.217,47336,699.599.385,844.162,Kecimen
79408,3.521.907.699,2.908.275.329,56.401.133,81463,792.771.926,1.073.251,Kecimen
49242,318.125.407,20.012.212,777.351.277,51368,658.456.354,881.836,Kecimen
42492,3.101.460.715,1.761.314.494,823.098.681,43904,665.893.562,823.796,Kecimen
60952,3.324.554.716,235.429.835,706.057.518,62329,74.359.819,933.366,Kecimen
42256,3.231.896.072,1.725.759.261,845.498.789,44743,698.030.924,849.728,Kecimen
64380,3.669.648.423,2.277.716.147,784.055.626,66125,664.375.716,981.544,Kecimen
80437,4.494.545.811,2.323.255.064,856.042.518,84460,674.235.757,1.176.305,Kecimen
43725,3.013.222.176,1.869.506.295,784.258.452,45021,697.068.248,818.873,Kecimen
43441,2.766.108.288,2.018.131.355,683.882.337,45133,690.855.598,803.748,Kecimen
76792,3.388.575.454,2.913.592.017,510.583.813,78842,772.322.237,1042.77,Kecimen
74167,3.877.989.307,2.478.581.228,769.089.738,76807,680.181.585,1.084.729,Kecimen
33565,2.615.543.311,1.677.084.908,767.374.275,35794,68.155.052,751.413,Kecimen
64670,4.030.839.752,2.064.846.437,858.829.168,66419,75.677.257,1.028.445,Kecimen
64762,3.542.939.396,2.357.524.629,746.473.726,66713,694.998.015,981.509,Kecimen
43295,3.042.844.667,1.828.110.368,799.406.959,44714,713.838.189,814.68,Kecimen
70699,4.186.985.723,2.165.960.537,855.799.392,72363,728.075.054,1.061.321,Kecimen
69726,3.541.769.124,252.529.208,701.160.962,71849,734.398.534,1.035.501,Kecimen
57346,3.304.784.385,2.224.437.485,739.555.027,59365,723.608.833,928.272,Kecimen
82028,3.971.149.759,2.683.337.727,737.169.367,84427,686.375.085,1.106.355,Kecimen
61251,3.015.077.895,2.736.599.414,419.753.707,64732,643.595.671,971.769,Kecimen
96277,4.471.345.225,2.752.161.542,788.128.405,97865,704.057.157,1.181.921,Kecimen
75620,3.682.242.844,2.634.592.554,698.627.251,77493,726.277.372,1.059.186,Kecimen
73167,340.055.218,2.760.151.772,58.410.581,74545,778.736.856,1.010.474,Kecimen
60847,3.369.238.696,2.314.656.959,726.660.229,62492,69.858.783,964.603,Kecimen
81021,3.477.500.583,2.976.406.265,517.134.931,82552,757.559.607,1.063.868,Kecimen
59902,3.585.919.148,2.229.020.273,783.331.958,63250,744.124.224,982.788,Kecimen
88745,429.770.355,2.656.902.361,786.009.488,90715,752.063.524,1.162.877,Kecimen
41809,3.075.327.392,175.085.568,822.113.695,43838,697.444.367,828.697,Kecimen
75329,3.642.307.798,2.658.668.635,683.510.499,77541,723.079.729,1.075.792,Kecimen
61600,3.501.827.545,2.258.427.713,764.243.075,63397,746.829.611,972.472,Kecimen
46427,2.538.420.284,2.359.068.241,369.212.459,48275,684.219.059,844.312,Kecimen
40861,2.497.402.266,2.135.732.718,51.832.833,43096,743.089.401,784.912,Kecimen
55827,305.298.843,2.346.612.245,639.696.077,57724,703.287.982,926.095,Kecimen
54182,3.660.666.742,192.013.274,851.391.425,56450,611.417.674,968.729,Kecimen
77468,4.059.365.937,2.459.897.977,795.479.241,79220,721.545.397,1.100.676,Kecimen
49882,2.872.643.272,2.221.858.727,633.851.884,50880,766.377.827,843.764,Kecimen
95245,397.094.114,3.072.739.224,633.422.315,97988,75.304.396,1201.39,Kecimen
71464,3.641.030.896,2.537.969.272,717.025.543,73265,715.484.271,1036.94,Kecimen
77055,3.752.501.319,2.628.124.219,713.783.938,79255,732.267.077,1.095.283,Kecimen
92384,3.684.062.138,3.207.145.792,492.086.934,93772,749.006.827,1.135.662,Kecimen
77310,4.365.298.989,2.282.803.725,852.367.489,80138,631.720.869,1.141.189,Kecimen
57580,3.302.283.748,2.320.553.872,711.474.579,60232,645.103.465,992.114,Kecimen
69708,3.754.472.798,2.391.327.753,770.923.534,71321,727.177.893,1.022.568,Kecimen
41502,2.605.126.753,2.058.650.238,612.809.911,43114,824.319.225,790.427,Kecimen
45800,3.300.086.832,1.816.658.648,834.842.987,47802,732.682.771,870.387,Kecimen
52623,3.119.967.579,2.180.411.235,7.152.614,54175,675.190.536,902.624,Kecimen
